FID,Block Number,x1,y1,dma,Subscription Number,zone,status
0,2,32.9099824,24.09174817,2,18867,1035,water
1,4,32.91008119,24.09172402,2,16224,1035,water
2,5,32.91017927,24.09166787,2,12950,1035,water
3,6,32.91017915,24.09177698,2,13683,1035,water
4,8,32.91007874,24.09181955,2,2972,1035,water
5,9,32.91001799,24.09196039,2,19023,1035,water
6,10,32.91012261,24.09195305,2,6722,1035,water
7,11,32.91019825,24.09191239,2,716965,1035,water
8,12,32.91019949,24.09196912,2,46336,1046,water
9,13,32.91018273,24.09205451,2,8203,1035,water
10,14,32.91019966,24.09215501,2,8203,1035,water
11,15,32.91002138,24.09217267,2,0,1035,non-user
12,16,32.91003617,24.09206789,2,0,1035,non-user
13,18,32.91005194,24.09231402,2,13537,1035,water
14,19,32.91021587,24.09230083,2,611562,1046,water
15,20,32.91022608,24.09240866,2,0,0,
16,21,32.91023717,24.09251598,2,55757,1046,water
17,23,32.91025047,24.09265217,2,24923,1035,water
18,27,32.91008886,24.09266508,2,45206,1046,water
19,28,32.91009431,24.09252329,2,0,0,
20,30,32.91006553,24.09241955,2,8215,1035,water
21,31,32.91007799,24.09284093,2,45219,1046,water
22,33,32.91019908,24.09284477,2,45188,1046,water
23,34,32.9103165,24.0928572,2,45434,1046,water
24,35,32.91025303,24.09295222,2,10606,1035,water
25,36,32.9102355,24.09304429,2,9772,1035,water
26,37,32.91026154,24.09313556,2,10881,1035,water
27,38,32.91013857,24.09311892,2,59056,1046,water
28,39,32.91002491,24.09310513,2,9814,1035,water
29,41,32.91008723,24.09298014,2,29588,1046,water
30,42,32.91054559,24.09285582,2,16168,1046,water
31,43,32.9104802,24.09247268,2,7370,1035,water
32,44,32.91049143,24.09236875,2,0,1035,non-user
33,45,32.91041725,24.09227818,2,610437,1035,water
34,46,32.9105857,24.09226285,2,73895,1046,water
35,48,32.9106099,24.09238916,2,56932,1046,water
36,49,32.91061924,24.0924624,2,10650,1046,water
37,51,32.91044679,24.09212851,2,15902,1035,water
38,52,32.91039284,24.09206322,2,0,1035,non-user
39,53,32.9103933,24.09201173,2,0,1035,non-user
40,54,32.91038406,24.09192322,2,788,1046,water
41,56,32.91052857,24.09190945,2,57391,1046,water
42,57,32.91063832,24.09190157,2,655182,1046,water
43,58,32.9105723,24.09200521,2,0,0,
44,60,32.91062679,24.09211265,2,9435,1035,water
45,62,32.91033036,24.09179294,2,33644,1135,water
46,63,32.91032331,24.091698,2,11945,1035,water
47,64,32.91040731,24.09169094,2,13310,1035,water
48,65,32.91054659,24.09169945,2,14236,1035,water
49,66,32.91062259,24.09166486,2,0,1035,illegal
50,67,32.91059016,24.09177381,2,20844,1035,water
51,69,32.91041971,24.09178719,2,27081,1046,water
52,70,32.91093123,24.09172474,2,603377,1035,water
53,71,32.91081989,24.09190721,2,23151,1046,water
54,72,32.91090314,24.09189188,2,1002,1035,water
55,73,32.91099021,24.09188785,2,0,1035,illegal
56,74,32.91105852,24.09188264,2,9998,1035,water
57,75,32.91117037,24.09188006,2,72911,1035,water
58,76,32.91111862,24.09202817,2,702044,1035,water
59,78,32.91102987,24.09219089,2,719933,1035,water
60,80,32.91110764,24.09227943,2,10606,1035,water
61,81,32.91109008,24.09233267,2,67784,1035,water
62,82,32.91103967,24.09241416,2,70423,1035,water
63,83,32.91097236,24.09249922,2,716445,1035,water
64,84,32.91098711,24.09257765,2,610094,1035,water
65,85,32.91102576,24.09262768,2,725690,1035,water
66,86,32.91088519,24.0926183,2,0,1035,illegal
67,87,32.9107592,24.09261624,2,724535,1035,water
68,88,32.91076918,24.09252423,2,57992,1035,water
69,89,32.91078719,24.09243818,2,73342,1035,water
70,90,32.91079731,24.09235465,2,717349,1035,water
71,92,32.91091547,24.0923392,2,0,1035,illegal
72,93,32.91085628,24.09216388,2,58543,1035,water
73,94,32.91087226,24.09207704,2,0,1035,illegal
74,95,32.91088421,24.09199457,2,1008,1035,water
75,96,32.91089774,24.09277824,2,48402,1035,water
76,97,32.91096607,24.09279445,2,0,1035,non-user
77,98,32.91102247,24.09283936,2,11027,1035,water
78,100,32.91094218,24.09288572,2,57356,1035,water
79,101,32.91089884,24.09295242,2,54115,1035,water
80,102,32.91082775,24.0929934,2,11327,1035,water
81,103,32.91081013,24.09302686,2,720004,1035,water
82,104,32.91075681,24.09307518,2,56242,1035,water
83,105,32.91069682,24.0931119,2,24117,1035,water
84,106,32.91074144,24.09297863,2,55414,1035,water
85,108,32.91081763,24.09290351,2,68194,1035,water
86,111,32.91085908,24.09315173,2,64719,1035,water
87,114,32.9109363,24.09324435,2,55515,1035,water
88,115,32.91091243,24.09333088,2,0,1035,non-user
89,116,32.91088041,24.09337468,2,48491,1035,water
90,117,32.91084406,24.09342648,2,0,1035,illegal
91,118,32.91082842,24.09333681,2,73599,1046,water
92,120,32.91074371,24.0933079,2,620835,1035,water
93,121,32.91078014,24.09325496,2,13001,1035,water
94,122,32.9108204,24.09320201,2,29033,1035,water
95,123,32.91089234,24.09306151,2,0,1035,non-user
96,124,32.91094503,24.09301017,2,70864,1035,water
97,125,32.91101385,24.09306682,2,74222,1035,water
98,126,32.91098042,24.09312872,2,15288,1035,water
99,127,32.91107756,24.09294344,2,11355,1035,water
100,129,32.91113085,24.09288595,2,9788,1046,water
101,130,32.91116767,24.09284521,2,0,1035,illegal
102,131,32.91118122,24.09293909,2,9446,1035,water
103,132,32.9112619,24.09293988,2,0,1035,non-user
104,133,32.91131023,24.09295223,2,9489,1035,water
105,134,32.9113313,24.09300037,2,12201,1035,water
106,135,32.91142063,24.09307048,2,9414,1035,water
107,136,32.91150379,24.09307209,2,9658,1035,water
108,137,32.91157154,24.09311784,2,0,1035,illegal
109,138,32.9116355,24.09315837,2,720002,1035,water
110,146,32.9118326,24.09326663,2,44097,1035,water
111,148,32.91200379,24.09333827,2,717304,1035,water
112,152,32.91202151,24.09344308,2,724815,1035,water
113,153,32.91187218,24.0934273,2,0,1035,illegal
114,154,32.91181982,24.09339976,2,9477,1035,water
115,155,32.91176493,24.09338777,2,603678,1035,water
116,156,32.91171595,24.09336181,2,27124,1035,water
117,157,32.91167452,24.09330477,2,716029,1035,water
118,158,32.91161156,24.09326648,2,716028,1035,water
119,159,32.91155062,24.09322656,2,59880,1035,water
120,160,32.9114964,24.09319022,2,30655,1035,water
121,162,32.91131505,24.09307547,2,609282,1035,water
122,163,32.91120706,24.09305078,2,45795,1035,water
123,164,32.91116702,24.09301322,2,610512,1035,water
124,166,32.91113788,24.09269053,2,0,1035,illegal
125,167,32.91118482,24.09259905,2,9413,1035,water
126,168,32.91128053,24.09265705,2,24468,1035,water
127,169,32.91138571,24.09268304,2,56248,1035,water
128,170,32.91140239,24.09256136,2,22343,1035,water
129,171,32.91129063,24.092524,2,17427,1035,water
130,172,32.91123182,24.09250478,2,11517,1035,water
131,173,32.91143518,24.09249033,2,16846,1035,water
132,176,32.9113471,24.09235941,2,4390,1035,water
133,178,32.91146329,24.09240321,2,22333,1035,water
134,181,32.9115078,24.09266974,2,44426,1035,water
135,182,32.91154382,24.09254741,2,44426,1035,water
136,184,32.91162046,24.09263098,2,4928,1035,water
137,190,32.91180519,24.09265125,2,0,1035,non-user
138,192,32.91172401,24.09276254,2,4928,1035,water
139,196,32.91186192,24.09285153,2,941050,1035,water
140,198,32.91191919,24.09276465,2,9430,1035,water
141,200,32.91201767,24.09270441,2,0,1035,non-user
142,201,32.91200651,24.09288749,2,9416,1035,water
143,204,32.91183774,24.09294484,2,9416,1035,water
144,205,32.91181516,24.0930542,2,9409,1035,water
145,212,32.91165021,24.09286796,2,719827,1035,water
146,213,32.91158401,24.09295861,2,33125,1035,water
147,214,32.91152356,24.09293964,2,9421,1035,water
148,215,32.91149218,24.09291621,2,27698,1035,water
149,216,32.91144617,24.09288529,2,45264,1035,water
150,217,32.91148393,24.09283687,2,27028,1035,water
151,218,32.91154455,24.09287337,2,45373,1035,water
152,219,32.91158745,24.09280592,2,957,1046,water
153,220,32.91148744,24.09274765,2,722228,0,water
154,221,32.91141205,24.09281787,2,617498,1046,water
155,222,32.91131565,24.092801,2,13868,1035,water
156,223,32.91126783,24.09277262,2,9402,1035,water
157,224,32.91122228,24.09273167,2,0,1035,non-user
158,225,32.91140236,24.09215818,2,0,1035,non-user
159,227,32.91144588,24.09210824,2,20758,1035,water
160,228,32.91164897,24.09214325,2,170527,1035,water
161,238,32.91149415,24.09219571,2,46245,1035,water
162,240,32.91142969,24.0919453,2,844,1035,water
163,241,32.91140032,24.09184979,2,10361,1035,water
164,242,32.9114549,24.09184764,2,55992,1035,water
165,243,32.9114994,24.09184298,2,47825,1035,water
166,244,32.91159988,24.09183038,2,0,1035,illegal
167,246,32.91165119,24.09192381,2,0,0,
168,248,32.91154675,24.09193483,2,0,0,
169,250,32.9118154,24.09187997,2,1027,1035,water
170,251,32.91188187,24.09180002,2,10041,1035,water
171,255,32.91199076,24.09180066,2,59232,1035,water
172,257,32.91204614,24.0917952,2,982,1046,water
173,258,32.91197097,24.09189342,2,0,0,
174,261,32.91187443,24.09206837,2,615598,1035,water
175,262,32.9119831,24.09205919,2,45539,1035,water
176,263,32.9119927,24.09217027,2,59608,1046,water
177,265,32.91200143,24.09224405,2,977,1046,water
178,266,32.91197895,24.09231904,2,0,0,
179,267,32.91198684,24.09240896,2,609805,1035,water
180,271,32.91215535,24.09236286,2,30986,1035,water
181,272,32.91213258,24.09219813,2,0,1035,non-user
182,273,32.91227258,24.09222578,2,15082,1035,water
183,274,32.91235422,24.09214578,2,10222,1046,water
184,275,32.91236258,24.09219534,2,10749,1046,water
185,277,32.91238727,24.09231364,2,57728,1046,water
186,280,32.9123066,24.09236728,2,617321,1046,water
187,281,32.91223673,24.09255767,2,24146,1035,water
188,284,32.9121756,24.09251351,2,969,1046,water
189,285,32.9121172,24.09251308,2,715949,1046,water
190,290,32.91201774,24.09255364,2,10965,1035,water
191,292,32.91185418,24.09246376,2,9401,1035,water
192,293,32.91179354,24.09239463,2,715954,1035,water
193,294,32.91173237,24.09240955,2,24688,1035,water
194,300,32.91162094,24.09235309,2,0,1035,illegal
195,301,32.91170454,24.09232186,2,0,1035,illegal
196,302,32.91177214,24.0923191,2,0,1035,non-user
197,304,32.91187295,24.0923208,2,24669,1035,water
198,306,32.91189932,24.09226548,2,0,1035,illegal
199,308,32.91212195,24.09167221,2,50791,1035,water
200,309,32.91219145,24.09172824,2,0,1035,illegal
201,310,32.91220305,24.09162708,2,33231,1035,water
202,313,32.91222205,24.09185325,2,0,1035,illegal
203,314,32.91211835,24.09204633,2,59076,1035,water
204,315,32.91232714,24.09154038,2,0,1035,illegal
205,316,32.91237915,24.09157295,2,0,1035,illegal
206,317,32.9124092,24.09171422,2,0,1035,illegal
207,318,32.91247951,24.09177933,2,0,1035,illegal
208,319,32.91249015,24.09182786,2,0,1035,illegal
209,320,32.91243867,24.09181181,2,0,1035,illegal
210,323,32.91238037,24.09182103,2,24687,1035,water
211,324,32.91249955,24.09203712,2,21167,1035,water
212,327,32.91268272,24.09214226,2,0,0,
213,332,32.91263004,24.09224383,2,718972,1035,water
214,333,32.91254416,24.09224457,2,718866,1035,water
215,334,32.91247242,24.09223858,2,33876,1035,water
216,335,32.91252267,24.09216148,2,0,1035,non-user
217,337,32.91275497,24.09229512,2,614278,1035,water
218,338,32.91277635,24.09237111,2,0,1035,illegal
219,340,32.91271462,24.09237806,2,73332,1035,water
220,341,32.91261064,24.09241257,2,0,1035,illegal
221,345,32.91247589,24.09248867,2,46026,1035,water
222,346,32.912404,24.092517,2,716679,1035,water
223,348,32.91252848,24.09241281,2,49475,1046,water
224,351,32.91274736,24.09252323,2,0,1035,illegal
225,352,32.91280047,24.09258383,2,0,1035,non-user
226,354,32.91276241,24.09265997,2,46091,1035,water
227,355,32.9127028,24.09269906,2,715969,1035,water
228,358,32.91258723,24.09273817,2,41971,1035,water
229,360,32.91244569,24.09268376,2,631144,1035,water
230,361,32.91249724,24.09263151,2,18885,1035,water
231,364,32.91262691,24.09258305,2,614358,1035,water
232,366,32.91278122,24.09286973,2,17254,1035,water
233,367,32.91289795,24.09275101,2,70538,1035,water
234,370,32.91290442,24.09262643,2,0,1035,illegal
235,373,32.91306999,24.09270937,2,22058,1035,water
236,374,32.91315725,24.09261255,2,46256,1035,water
237,375,32.913076,24.09264454,2,46263,1035,water
238,379,32.91305059,24.0928454,2,72222,1035,water
239,381,32.91296838,24.09281823,2,0,1035,illegal
240,382,32.91286922,24.09283907,2,716697,1035,water
241,383,32.91288478,24.09292429,2,0,1035,illegal
242,384,32.91284579,24.09292029,2,7992,1046,water
243,386,32.91278744,24.09303413,2,0,0,
244,390,32.91270786,24.0928776,2,615368,1035,water
245,393,32.91248046,24.09297384,2,44625,1035,water
246,396,32.91241328,24.0929011,2,22173,1035,water
247,398,32.9122765,24.09285263,2,603651,1046,water
248,403,32.91217001,24.09287406,2,17909,1035,water
249,405,32.91208064,24.09308066,2,680934,1035,water
250,406,32.91220924,24.09310477,2,680934,1035,water
251,407,32.91230552,24.09311696,2,55014,1035,water
252,408,32.91237877,24.09315836,2,9539,1035,water
253,413,32.91224353,24.09324062,2,16742,1035,water
254,418,32.9121273,24.09322853,2,33056,1035,water
255,419,32.91208657,24.09315548,2,17889,1035,water
256,420,32.9122021,24.0934662,2,59889,1035,water
257,421,32.9123012,24.09347286,2,45325,1035,water
258,422,32.91240748,24.09332748,2,50930,1035,water
259,423,32.9125132,24.09333567,2,9615,1035,water
260,424,32.91260589,24.09326941,2,716090,1035,water
261,426,32.91271297,24.09326908,2,13381,1035,water
262,427,32.9126657,24.09339823,2,0,1035,illegal
263,428,32.91268027,24.09346479,2,0,1035,illegal
264,429,32.91268328,24.09352,2,3321,1035,water
265,430,32.91267133,24.09358246,2,715962,1035,water
266,431,32.91264918,24.09364829,2,9751,1035,water
267,432,32.91260878,24.09372022,2,68442,1035,water
268,433,32.91253101,24.09369383,2,12485,1035,water
269,435,32.91244395,24.09368847,2,54008,1046,water
270,436,32.91248944,24.09360432,2,54065,1035,water
271,437,32.91249179,24.09350109,2,0,0,
272,438,32.91246209,24.09393177,2,17263,1046,water
273,439,32.91244654,24.09379699,2,0,1035,illegal
274,441,32.91255066,24.09384347,2,45423,1035,water
275,442,32.91264706,24.09384745,3,15955,1035,water
276,443,32.9125984,24.09403233,3,9676,1035,water
277,445,32.91255531,24.09421256,3,24651,1035,water
278,446,32.91248053,24.09419369,3,11412,1035,water
279,448,32.91239389,24.0941696,3,24169,1035,water
280,449,32.91229861,24.09417315,2,55516,1035,water
281,450,32.91231186,24.09412478,2,20596,1035,water
282,451,32.91236037,24.09408553,2,48920,1035,water
283,452,32.91238311,24.09401906,2,0,1035,illegal
284,453,32.91240385,24.09397769,2,30734,1035,water
285,454,32.9122966,24.09392308,2,0,1035,illegal
286,456,32.91220908,24.09392107,2,24020,1046,water
287,459,32.91215008,24.09388071,2,10798,1046,water
288,460,32.91209198,24.09388207,2,15719,1035,water
289,462,32.91203842,24.09386292,2,20366,1035,water
290,463,32.91190619,24.09387006,2,688086,1035,water
291,465,32.91192366,24.09382079,2,0,1035,illegal
292,469,32.91203572,24.09373194,2,0,1035,illegal
293,470,32.91198312,24.09372486,2,717886,1035,water
294,471,32.91193726,24.0937209,2,0,1035,illegal
295,473,32.91186442,24.0937092,2,0,1035,illegal
296,475,32.91187596,24.09359706,2,0,1035,illegal
