Subscriber Number,Zone,Meter type,Apr.23,Mai.23,Jun.23,Jul.23,Aug.23,Sep.23,Okt.23,Nov.23,Dez.23,Jan.24,Feb.24,Mär.24,Apr.24
13,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
18,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
20,1’135,factories,40,40,40,40,40,40,40,40,40,40,40,40,40
22,1’135,factories,0,0,0,30,0,30,0,0,0,0,0,0,0
24,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
38,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
40,1’135,without a meter,,,,,,,,,,,,,
54,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
57,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
61,1’135,factories,30,30,30,30,30,30,30,30,30,5,25,30,30
73,1’135,Polish,0,0,0,0,0,0,20,20,20,20,20,20,20
82,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
84,1’135,factories,30,30,30,30,30,30,30,30,30,30,30,30,30
106,1’135,Polish,2,7,7,3,3,5,8,5,2,5,5,5,6
131,1’042,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
143,1’135,without a meter,,,,,,,,,,,,,
165,1’135,factories,15,15,15,20,16,23,17,12,11,12,9,9,20
166,1’135,Polish,20,20,20,20,30,30,0,0,0,0,30,30,30
167,1’135,without a meter,,,,,,,,,,,,,
171,1’135,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
175,1’135,Polish,5,5,5,5,5,5,15,25,15,20,20,20,25
178,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
184,1’135,Sphinx,23,30,30,60,50,40,50,28,60,32,60,60,60
186,1’135,Polish,0,0,0,0,0,0,0,0,5,5,5,5,15
199,1’135,factories,30,30,30,30,30,30,30,30,30,30,30,30,30
200,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
205,1’135,Polish,20,20,20,5,5,15,15,15,15,15,5,20,20
206,1’135,Polish,,,,,,,,,,,,,
210,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
211,1’135,Polish,40,0,0,0,40,40,40,40,20,20,5,45,45
212,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
223,1’135,factories,5,5,5,15,5,5,5,5,5,5,5,5,15
225,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
231,1’135,Polish,20,30,30,30,30,30,30,30,30,30,30,30,30
232,1’134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
237,1’135,Polish,50,50,50,50,50,50,50,50,50,50,50,50,40
522,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
567,1’034,Polish,5,5,5,5,1,1,0,0,0,0,2,20,15
780,1’135,without a meter,,,,,,,,,,,,,
844,1’035,Polish,4,2,2,1,3,5,10,13,10,10,10,10,0
906,1’135,Polish,50,50,50,50,50,50,0,50,25,25,50,50,40
915,1’046,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
1’002,1’035,factories,2,2,2,3,0,0,10,20,13,10,10,10,0
1’008,1’035,factories,20,20,20,20,20,20,20,20,20,20,20,20,20
1’019,1’035,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
1’020,1’035,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
1’021,1’035,without a meter,20,20,20,20,20,20,20,20,20,20,20,20,20
