Block Number,X,Y,DMA,Zone,Status
2,32.9099824,24.09174817,2,1035,water meter
4,32.91008119,24.09172402,2,1035,water meter
5,32.91017927,24.09166787,2,1035,water meter
6,32.91017915,24.09177698,2,1035,water meter
8,32.91007874,24.09181955,2,1035,water meter
9,32.91001799,24.09196039,2,1035,water meter
10,32.91012261,24.09195305,2,1035,water meter
11,32.91019825,24.09191239,2,1035,water meter
12,32.91019949,24.09196912,2,1046,water meter
13,32.91018273,24.09205451,2,1035,water meter
14,32.91019966,24.09215501,2,1035,water meter
15,32.91002138,24.09217267,2,1035,non-user
16,32.91003617,24.09206789,2,1035,non-user
18,32.91005194,24.09231402,2,1035,water meter
19,32.91021587,24.09230083,2,1046,water meter
20,32.91022608,24.09240866,2,1035,
21,32.91023717,24.09251598,2,1046,water meter
23,32.91025047,24.09265217,2,1035,water meter
27,32.91008886,24.09266508,2,1046,water meter
28,32.91009431,24.09252329,2,1035,
30,32.91006553,24.09241955,2,1035,water meter
31,32.91007799,24.09284093,2,1046,water meter
33,32.91019908,24.09284477,2,1046,water meter
34,32.9103165,24.0928572,2,1046,water meter
35,32.91025303,24.09295222,2,1035,water meter
36,32.9102355,24.09304429,2,1035,water meter
37,32.91026154,24.09313556,2,1035,water meter
38,32.91013857,24.09311892,2,1046,water meter
39,32.91002491,24.09310513,2,1035,water meter
41,32.91008723,24.09298014,2,1046,water meter
42,32.91054559,24.09285582,2,1046,water meter
43,32.9104802,24.09247268,2,1035,water meter
44,32.91049143,24.09236875,2,1035,non-user
45,32.91041725,24.09227818,2,1035,water meter
46,32.9105857,24.09226285,2,1046,water meter
48,32.9106099,24.09238916,2,1046,water meter
49,32.91061924,24.0924624,2,1046,water meter
51,32.91044679,24.09212851,2,1035,water meter
52,32.91039284,24.09206322,2,1035,non-user
53,32.9103933,24.09201173,2,1035,non-user
54,32.91038406,24.09192322,2,1046,water meter
56,32.91052857,24.09190945,2,1046,water meter
57,32.91063832,24.09190157,2,1046,water meter
58,32.9105723,24.09200521,2,1035,
60,32.91062679,24.09211265,2,1035,water meter
62,32.91033036,24.09179294,2,1135,water meter
63,32.91032331,24.091698,2,1035,water meter
64,32.91040731,24.09169094,2,1035,water meter
65,32.91054659,24.09169945,2,1035,water meter
66,32.91062259,24.09166486,2,1035,illegal connection
67,32.91059016,24.09177381,2,1035,water meter
69,32.91041971,24.09178719,2,1046,water meter
70,32.91093123,24.09172474,2,1035,water meter
71,32.91081989,24.09190721,2,1046,water meter
72,32.91090314,24.09189188,2,1035,water meter
73,32.91099021,24.09188785,2,1035,illegal connection
74,32.91105852,24.09188264,2,1035,water meter
75,32.91117037,24.09188006,2,1035,water meter
76,32.91111862,24.09202817,2,1035,water meter
78,32.91102987,24.09219089,2,1035,water meter
80,32.91110764,24.09227943,2,1035,water meter
81,32.91109008,24.09233267,2,1035,water meter
82,32.91103967,24.09241416,2,1035,water meter
83,32.91097236,24.09249922,2,1035,water meter
84,32.91098711,24.09257765,2,1035,water meter
85,32.91102576,24.09262768,2,1035,water meter
86,32.91088519,24.0926183,2,1035,illegal connection
87,32.9107592,24.09261624,2,1035,water meter
88,32.91076918,24.09252423,2,1035,water meter
89,32.91078719,24.09243818,2,1035,water meter
90,32.91079731,24.09235465,2,1035,water meter
92,32.91091547,24.0923392,2,1035,illegal connection
